Noise,N,0,1,2
0.027573967160944953,100,0.32270276364944983,0.5197708577496839,1.0
0.01375830884346064,100,0.23435853528315675,0.2873503396981136,1.0
0.002848441995512598,100,0.4344541406807968,0.7953929716527687,1.0
0.027107406259210286,200,0.3921676283379353,0.6474828863397597,1.0
0.012842738006133295,200,0.4172299350997217,0.6568319624654175,1.0
0.002662755587236647,200,0.4254513925344773,0.7446941203880706,1.0
0.026307640808096576,400,0.4674257785928052,0.7797146006509565,1.0
0.013180998202943571,400,0.4650853055271768,0.7791371223638375,1.0
0.0026994857509106272,400,0.4442288873440302,0.7615765570208894,1.0
0.02644737088692275,800,0.4689348001104382,0.7661740957095898,1.0
0.013688385463636954,800,0.4546929704085232,0.7757334838973537,1.0
0.0026960730522389374,800,0.4421748332785336,0.7601926326920131,1.0
0.026509942990730787,1600,0.4530641724988986,0.7757531331361589,1.0
0.01365928605022237,1600,0.4456561382800426,0.7593840402943519,1.0
0.0026975704381844616,1600,0.4482348734022039,0.7471883968356354,1.0
