Noise,N,0
0.0276,100,1.7764
0.0138,100,0.9535
0.0028,100,1.4537
0.0271,200,1.7063
0.0128,200,1.5829
0.0027,200,1.5102
0.0263,400,1.4012
0.0132,400,1.3618
0.0027,400,1.1133
0.0264,800,1.3978
0.0137,800,1.2820
0.0027,800,1.1267
0.0265,1600,1.1272
0.0137,1600,1.2250
0.0027,1600,1.1115
