Noise,N,0,1,2
0.0276,100,0.2990,0.5412,1.0000
0.0138,100,0.5059,0.6197,1.0000
0.0028,100,0.2593,0.5911,1.0000
0.0271,200,0.3596,0.6267,1.0000
0.0128,200,0.3622,0.6162,1.0000
0.0027,200,0.3802,0.7308,1.0000
0.0263,400,0.4290,0.7497,1.0000
0.0132,400,0.4357,0.7635,1.0000
0.0027,400,0.4271,0.7534,1.0000
0.0264,800,0.4259,0.7458,1.0000
0.0137,800,0.4349,0.7574,1.0000
0.0027,800,0.4416,0.7634,1.0000
0.0265,1600,0.4404,0.7586,1.0000
0.0137,1600,0.4413,0.7413,1.0000
0.0027,1600,0.4412,0.7556,1.0000
