Noise,N,0
0.027573967160944953,100,0.1678033301735845
0.01375830884346064,100,0.4280982689163386
0.002848441995512598,100,0.002346732215001848
0.027107406259210286,200,0.2068529819484178
0.012842738006133295,200,0.17834432801598535
0.002662755587236647,200,8.728197273403956e-05
0.026307640808096576,400,0.0006875622438587153
0.013180998202943571,400,0.0001757883515389951
0.0026994857509106272,400,1e-06
0.02644737088692275,800,0.0008211202191107834
0.013688385463636954,800,0.0001878655993011077
0.0026960730522389374,800,7.996326743334752e-06
0.026509942990730787,1600,0.0007272667534985773
0.01365928605022237,1600,0.00018963467493828096
0.0026975704381844616,1600,8.995526959281227e-06
