Noise,N,0,1,2
0.027573967160944953,100,0.29895517345685785,0.14833222888074868,0.21197217260434453
0.01375830884346064,100,0.5058898303546078,0.017853985574952325,0.13066443298334834
0.002848441995512598,100,0.2593474524993252,0.2664840315922538,0.040822534821442234
0.027107406259210286,200,0.3596255657011725,0.16417521585366873,0.20318736276851915
0.012842738006133295,200,0.3622310999381197,0.1294497595889421,0.19935330821967212
0.002662755587236647,200,0.3802363866073765,0.3141209879928045,0.007886135791103482
0.026307640808096576,400,0.4289836792673267,0.3067624110939462,0.003126556136418956
0.013180998202943571,400,0.43565518091739797,0.3104756934709635,0.0016599243855206368
0.0026994857509106272,400,0.4270732989704107,0.3121968237755901,0.004105750528921578
0.02644737088692275,800,0.4258657318032147,0.3122593089571606,0.0018177001322840546
0.013688385463636954,800,0.4348751221469661,0.31436707098779176,0.001346097616041285
0.0026960730522389374,800,0.4415744175248555,0.3152776039640549,0.0009761688979877608
0.026509942990730787,1600,0.4404045535960559,0.31499047801131164,0.0003893412494372302
0.01365928605022237,1600,0.4412571267031437,0.2963212201161101,0.006120547071156904
0.0026975704381844616,1600,0.4412423612560519,0.3111378008689523,0.0008418979530416237
