Noise,N,0,1,2
0.0276,100,0.3227,0.5198,1.0000
0.0138,100,0.2344,0.2874,1.0000
0.0028,100,0.4345,0.7954,1.0000
0.0271,200,0.3922,0.6475,1.0000
0.0128,200,0.4172,0.6568,1.0000
0.0027,200,0.4255,0.7447,1.0000
0.0263,400,0.4674,0.7797,1.0000
0.0132,400,0.4651,0.7791,1.0000
0.0027,400,0.4442,0.7616,1.0000
0.0264,800,0.4689,0.7662,1.0000
0.0137,800,0.4547,0.7757,1.0000
0.0027,800,0.4422,0.7602,1.0000
0.0265,1600,0.4531,0.7758,1.0000
0.0137,1600,0.4457,0.7594,1.0000
0.0027,1600,0.4482,0.7472,1.0000
