Noise,N,0
0.027573967160944953,100,0.5794858010181672
0.01375830884346064,100,0.7475348876452457
0.002848441995512598,100,0.5410534592275118
0.027107406259210286,200,0.5611895206352997
0.012842738006133295,200,0.5406196089013282
0.002662755587236647,200,0.5803674386659717
0.026307640808096576,400,0.5724130188922514
0.013180998202943571,400,0.5687492742766531
0.0026994857509106272,400,0.5658195533238811
0.02644737088692275,800,0.5695859571992197
0.013688385463636954,800,0.5717594289527168
0.0026960730522389374,800,0.5601479588856466
0.026509942990730787,1600,0.5715023113556812
0.01365928605022237,1600,0.562168902369522
0.0026975704381844616,1600,0.5562909834500213
