Noise,N,0,1,2
0.027573967160944953,100,0.29895517345685785,0.541166157347639,1.0
0.01375830884346064,100,0.5058898303546078,0.6197020294389728,1.0
0.002848441995512598,100,0.2593474524993252,0.591138471320585,1.0
0.027107406259210286,200,0.3596255657011725,0.6266996174056831,1.0
0.012842738006133295,200,0.3622310999381197,0.6161607998063584,1.0
0.002662755587236647,200,0.3802363866073765,0.7307523952570241,1.0
0.026307640808096576,400,0.4289836792673267,0.7496812680864688,1.0
0.013180998202943571,400,0.43565518091739797,0.7634922895324984,1.0
0.0026994857509106272,400,0.4270732989704107,0.7534357629931545,1.0
0.02644737088692275,800,0.4258657318032147,0.7458497963700244,1.0
0.013688385463636954,800,0.4348751221469661,0.7574184444678235,1.0
0.0026960730522389374,800,0.4415744175248555,0.7633853827855359,1.0
0.026509942990730787,1600,0.4404045535960559,0.7586476079383231,1.0
0.01365928605022237,1600,0.4412571267031437,0.7412639334280757,1.0
0.0026975704381844616,1600,0.4412423612560519,0.7555598774741372,1.0
