Noise,N,0
0.0000,100,0.0000
0.0250,100,0.0108
0.0000,200,0.0068
0.0250,200,0.0027
0.0000,400,0.0046
0.0250,400,0.0109
0.0000,800,0.0073
0.0250,800,0.0056
0.0000,1600,0.0059
0.0250,1600,0.0057
