Noise,N,0
0.1420231955411075,100,0.700748378326298
0.07037930903442637,100,0.651500996035898
0.014084895580535592,100,0.6710751365904182
0.13986982524520128,200,0.6382530747827608
0.07046010470625326,200,0.6440181151866459
0.014157471968621322,200,0.5868459044931744
0.13995786383757236,400,0.5166888698482099
0.07059738249794054,400,0.5540234711785639
0.01413041687790268,400,0.5443973346615669
0.13939143981900615,800,0.5707784286863228
0.07048927429759728,800,0.5199945489793731
0.014140700577937792,800,0.4761243258559147
0.13986045942694794,1600,0.4956546565348298
0.07053958788802506,1600,0.5216620335474074
0.014142425891663991,1600,0.4747980076283845
