Noise,N,0
0.0000,100,0.9946
0.0010,100,0.5809
0.0000,200,0.4128
0.0010,200,0.4408
0.0000,400,0.7953
0.0010,400,0.5633
0.0000,800,0.6844
0.0010,800,0.6922
0.0000,1600,0.6398
0.0010,1600,0.5313
