Noise,N,0,1
0.0000,100,0.1126,0.0523
0.0250,100,0.1772,0.0169
0.0000,200,0.0452,0.0665
0.0250,200,0.2410,0.0077
0.0000,400,0.0487,0.0214
0.0250,400,0.0189,51.4029
0.0000,800,0.0801,0.0051
0.0250,800,0.0107,0.0277
0.0000,1600,0.0058,0.0031
0.0250,1600,0.0078,0.1127
