Noise,N,0
0.10193904662223141,100,0.24092928889646925
0.047668108666974345,100,0.16711122870033046
0.009963869453894809,100,0.18424393464904765
0.10109956296308613,200,0.009475923414691393
0.05193671975522477,200,0.002541077172242273
0.009921952585651721,200,8.77883306358817e-05
0.10085027919177897,400,0.009970806765529116
0.04982767210437914,400,0.00254797531727846
0.010264865626140825,400,0.00010461087252119828
0.09787977810795419,800,0.009474929873186063
0.04977222035632235,800,0.0024529995510670947
0.010262218248538449,800,0.00010328986865694591
0.1003938914682824,1600,0.0099023285915755
0.05083580888475029,1600,0.002601857499656664
0.010064916286619062,1600,0.00010260718383457208
