Noise,N,0,1
0.1000,100,0.4308,0.1615
0.0500,100,0.3208,0.2593
0.0100,100,0.5566,0.3022
0.1000,200,0.1425,0.2056
0.0500,200,0.1409,0.1861
0.0100,200,0.6783,0.2662
0.1000,400,0.1779,0.0997
0.0500,400,0.1195,0.1315
0.0100,400,0.4261,0.1495
0.1000,800,0.1127,0.0608
0.0500,800,0.0824,0.0873
0.0100,800,0.2014,0.1860
0.1000,1600,0.0969,0.1249
0.0500,1600,0.0799,0.0404
0.0100,1600,0.1222,0.1343
