Noise,N,0,1
0.1019,100,0.5210,1.0000
0.0477,100,0.5342,1.0000
0.0100,100,0.5270,1.0000
0.1011,200,0.5157,1.0000
0.0519,200,0.5065,1.0000
0.0099,200,0.5022,1.0000
0.1009,400,0.4988,1.0000
0.0498,400,0.5051,1.0000
0.0103,400,0.5032,1.0000
0.0979,800,0.5016,1.0000
0.0498,800,0.5026,1.0000
0.0103,800,0.5029,1.0000
0.1004,1600,0.5026,1.0000
0.0508,1600,0.5009,1.0000
0.0101,1600,0.5015,1.0000
