Noise,N,0,1
0.10193904662223141,100,0.5210431051463476,0.4246777674132201
0.047668108666974345,100,0.5341949468167422,0.4320445456735533
0.009963869453894809,100,0.5269505449614169,0.4383695128497764
0.10109956296308613,200,0.5157343724909429,0.4637669232760781
0.05193671975522477,200,0.5065092396547037,0.4721314446525694
0.009921952585651721,200,0.5021581206029178,0.4889735595473235
0.10085027919177897,400,0.4987594006525588,0.4912523364826562
0.04982767210437914,400,0.5051439805946345,0.4864683625869526
0.010264865626140825,400,0.5031887094513555,0.4908172344935337
0.09787977810795419,800,0.5016164093850436,0.4942878798097721
0.04977222035632235,800,0.5025522072345059,0.4946700506793463
0.010262218248538449,800,0.5028827988426458,0.4939060040144654
0.1003938914682824,1600,0.5025605937753082,0.4950349593064565
0.05083580888475029,1600,0.5008893286646947,0.4973266341049142
0.010064916286619062,1600,0.5015460299104476,0.4976019488756592
