Noise,N,0
0.10193904662223141,100,0.6820685112075044
0.047668108666974345,100,0.6558450044189899
0.009963869453894809,100,0.8868124328194935
0.10109956296308613,200,0.7773919380587533
0.05193671975522477,200,0.7109424813084158
0.009921952585651721,200,0.4787266991514063
0.10085027919177897,400,0.7351761361618379
0.04982767210437914,400,0.5677491306125915
0.010264865626140825,400,0.3454331112038496
0.09787977810795419,800,0.6638482997833572
0.04977222035632235,800,0.5805994900722287
0.010262218248538449,800,0.3287695786288728
0.1003938914682824,1600,0.7641664040291458
0.05083580888475029,1600,0.6127851769554609
0.010064916286619062,1600,0.3156723578211917
