Noise,N,0
0.10193904662223141,100,-59.81795785564165
0.047668108666974345,100,-65.69884941143255
0.009963869453894809,100,-94.94247978785327
0.10109956296308613,200,-48.2756677560283
0.05193671975522477,200,-133.05490826320965
0.009921952585651721,200,-333.805390514667
0.10085027919177897,400,-186.54576675788013
0.04982767210437914,400,-400.59317464463317
0.010264865626140825,400,-867.3428283877607
0.09787977810795419,800,-512.8066652519012
0.04977222035632235,800,-980.779033421322
0.010262218248538449,800,-2040.7623979593454
0.1003938914682824,1600,-1157.5898276870116
0.05083580888475029,1600,-2145.0515580167926
0.010064916286619062,1600,-4479.748333964592
