10.19,100,75.06,99.94,99.94,100.00,100.00,75.33,99.94,100.00,100.00,100.00,52.10,100.00,43.21,100.00
4.77,100,69.53,97.02,97.03,98.27,100.00,70.76,97.82,99.28,100.00,100.00,53.42,100.00,48.86,100.00
1.00,100,67.94,96.88,96.88,96.88,100.00,70.77,100.00,100.00,100.00,100.00,52.70,100.00,47.80,100.00
10.11,200,50.48,99.99,100.00,100.00,100.00,50.48,99.99,100.00,100.00,100.00,51.57,100.00,45.28,100.00
5.19,200,49.81,100.00,100.00,100.00,100.00,49.82,100.00,100.00,100.00,100.00,50.65,100.00,44.62,100.00
0.99,200,49.96,100.00,100.00,100.00,100.00,49.96,100.00,100.00,100.00,100.00,50.22,100.00,50.20,100.00
10.09,400,49.89,100.00,100.00,100.00,100.00,50.23,100.00,100.00,100.00,100.00,49.88,100.00,42.85,100.00
4.98,400,50.18,100.00,100.00,100.00,100.00,50.15,100.00,100.00,100.00,100.00,50.51,100.00,47.92,100.00
1.03,400,50.21,100.00,100.00,100.00,100.00,50.21,100.00,100.00,100.00,100.00,50.32,100.00,50.09,100.00
9.79,800,50.06,100.00,100.00,100.00,100.00,50.22,100.00,100.00,100.00,100.00,50.16,100.00,42.35,100.00
4.98,800,50.24,100.00,100.00,100.00,100.00,50.38,100.00,100.00,100.00,100.00,50.26,100.00,44.64,100.00
1.03,800,50.10,100.00,100.00,100.00,100.00,50.26,100.00,100.00,100.00,100.00,50.29,100.00,49.52,100.00
10.04,1600,50.09,100.00,100.00,100.00,100.00,50.09,100.00,100.00,100.00,100.00,50.26,100.00,45.51,100.00
5.08,1600,49.87,100.00,100.00,100.00,100.00,50.13,100.00,100.00,100.00,100.00,50.09,100.00,44.93,100.00
1.01,1600,50.10,100.00,100.00,100.00,100.00,50.10,100.00,100.00,100.00,100.00,50.15,100.00,50.76,100.00
