Noise,N,0
0.1019,100,-30.7936
0.0477,100,-23.6902
0.0100,100,-48.8290
0.1011,200,-19.4402
0.0519,200,-94.9347
0.0099,200,-256.1915
0.1009,400,-133.4737
0.0498,400,-338.6787
0.0103,400,-761.8324
0.0979,800,-449.8398
0.0498,800,-901.6127
0.0103,800,-1904.8726
0.1004,1600,-1082.8261
0.0508,1600,-2042.4489
0.0101,1600,-4309.0332
