Noise,N,0,1
0.1019,100,1.0000,0.0000
0.1019,100,0.0000,1.0000
0.0477,100,1.0000,0.0000
0.0477,100,0.0000,1.0000
0.0100,100,1.0000,0.0000
0.0100,100,0.0000,1.0000
0.1011,200,1.0000,0.0000
0.1011,200,0.0000,1.0000
0.0519,200,1.0000,0.0000
0.0519,200,0.0000,1.0000
0.0099,200,1.0000,0.0000
0.0099,200,0.0000,1.0000
0.1009,400,1.0000,0.0000
0.1009,400,0.0000,1.0000
0.0498,400,1.0000,0.0000
0.0498,400,0.0000,1.0000
0.0103,400,1.0000,0.0000
0.0103,400,0.0000,1.0000
0.0979,800,1.0000,0.0000
0.0979,800,0.0000,1.0000
0.0498,800,1.0000,0.0000
0.0498,800,0.0000,1.0000
0.0103,800,1.0000,0.0000
0.0103,800,0.0000,1.0000
0.1004,1600,1.0000,0.0000
0.1004,1600,0.0000,1.0000
0.0508,1600,1.0000,0.0000
0.0508,1600,0.0000,1.0000
0.0101,1600,1.0000,0.0000
0.0101,1600,0.0000,1.0000
