Noise,N,0
0.10193904662223141,100,0.6839834312573323
0.047668108666974345,100,1.0799799143331306
0.009963869453894809,100,1.0638851045428055
0.10109956296308613,200,1.0850312773082835
0.05193671975522477,200,1.0271271704874274
0.009921952585651721,200,0.988542483784632
0.10085027919177897,400,0.9043792760974212
0.04982767210437914,400,0.9127045219054224
0.010264865626140825,400,0.9045081724642814
0.09787977810795419,800,0.8560170206386466
0.04977222035632235,800,0.8575431437836842
0.010262218248538449,800,0.8584122545426217
0.1003938914682824,1600,0.8826349177468799
0.05083580888475029,1600,0.8504620452915137
0.010064916286619062,1600,0.7616734997446566
