Noise,N,0,1
0.1,100,0.4449938896413246,1.0
0.05,100,0.2932632911971619,1.0
0.01,100,0.2937425231662554,1.0
0.1,200,0.2561772097753143,1.0
0.05,200,0.08881753868570716,1.0
0.01,200,0.2554703027300849,1.0
0.1,400,0.06884083310320308,1.0
0.05,400,0.24711518976443,1.0
0.01,400,0.12296293387678435,1.0
0.1,800,0.0986962925047699,1.0
0.05,800,0.11097066023129773,1.0
0.01,800,0.1676584578999809,1.0
0.1,1600,0.050181236684945306,1.0
0.05,1600,0.3351888358192285,1.0
0.01,1600,0.1162653904735192,1.0
