Noise,N,0
0.0979944654673637,100,0.7309466457214642
0.048443060652493056,100,0.6241094878395868
0.009329802149457472,100,0.9295756363025024
0.09919470158512192,200,0.8221226037722041
0.05222206905095077,200,0.9934727518933726
0.00978256369915774,200,0.7434167278013324
0.10146411316216493,400,0.8382166606120425
0.04928029854980694,400,0.7865039252643159
0.010287988014161153,400,0.7920357539363411
0.10137886597447154,800,0.8116766169859301
0.0477573653624784,800,0.83642511337833
0.009987634647585036,800,0.754072283995568
0.10003040744882842,1600,0.7699402845584504
0.049766506574559694,1600,0.889065250624582
0.01012885198244404,1600,0.8687496917398805
