Noise,N,0,1
0.0980,100,0.4450,0.0458
0.0484,100,0.2933,0.0740
0.0093,100,0.2937,0.0463
0.0992,200,0.2562,0.0447
0.0522,200,0.0888,0.1157
0.0098,200,0.2555,0.0196
0.1015,400,0.0688,0.0099
0.0493,400,0.2471,0.0305
0.0103,400,0.1230,0.0062
0.1014,800,0.0987,0.0075
0.0478,800,0.1110,0.0138
0.0100,800,0.1677,0.0092
0.1000,1600,0.0502,0.0674
0.0498,1600,0.3352,0.0097
0.0101,1600,0.1163,0.0247
