9.80,100,29.00,32.27,51.86,100.00,100.00,99.83,100.00,100.00,100.00,100.00,87.80,100.00,44.50,100.00
4.84,100,3.17,85.58,97.86,97.88,100.00,98.88,100.00,100.00,100.00,100.00,77.38,100.00,29.33,100.00
0.93,100,5.77,14.72,78.35,96.44,100.00,95.34,100.00,100.00,100.00,100.00,88.89,100.00,29.37,100.00
9.92,200,22.72,36.51,61.41,85.15,100.00,72.51,79.71,85.58,91.84,100.00,90.95,100.00,25.62,100.00
5.22,200,0.23,14.39,22.26,52.67,100.00,49.30,54.95,83.92,97.40,100.00,93.82,100.00,8.88,100.00
0.98,200,0.15,4.08,67.57,80.05,100.00,72.59,76.76,88.53,96.86,100.00,90.73,100.00,25.55,100.00
10.15,400,0.85,13.19,19.46,37.54,100.00,51.47,54.77,64.70,79.73,100.00,93.34,100.00,6.88,100.00
4.93,400,10.44,16.46,38.41,42.92,100.00,48.65,62.05,78.50,97.70,100.00,80.05,100.00,24.71,100.00
1.03,400,1.71,2.70,16.52,69.67,100.00,47.79,50.56,60.42,83.82,100.00,94.51,100.00,12.30,100.00
10.14,800,2.49,29.38,39.86,62.28,100.00,49.50,52.33,58.25,83.15,100.00,94.89,100.00,9.87,100.00
4.78,800,11.00,11.90,38.87,48.11,100.00,49.08,55.63,78.33,97.67,100.00,89.09,100.00,11.10,100.00
1.00,800,13.64,14.80,47.45,55.00,100.00,47.75,50.02,54.05,65.87,100.00,95.87,100.00,16.77,100.00
10.00,1600,19.62,34.44,54.40,71.69,100.00,50.73,61.96,68.30,80.57,100.00,82.60,100.00,5.02,100.00
4.98,1600,1.03,23.19,23.76,33.05,100.00,50.14,52.04,68.71,82.77,100.00,94.42,100.00,33.52,100.00
1.01,1600,1.29,2.83,6.77,43.34,100.00,49.84,52.82,78.97,91.05,100.00,93.54,100.00,11.63,100.00
