Noise,N,0,1
0.0979944654673637,100,0.08912123998958217,0.17097388239490866
0.048443060652493056,100,0.07612548461752669,0.12080224025525373
0.009329802149457472,100,0.082371948461315,0.08312662719854311
0.09919470158512192,200,0.0513292007150248,0.10237065563957072
0.05222206905095077,200,0.12485671084637848,0.007994625916473845
0.00978256369915774,200,0.018938548361997286,0.1039525994670914
0.10146411316216493,400,0.01033733701354676,0.021418513555417386
0.04928029854980694,400,0.016459123331072294,0.07624190009035058
0.010287988014161153,400,0.007450064273753467,0.07235637161098893
0.10137886597447154,800,0.007359183445264964,0.020715015440555998
0.0477573653624784,800,0.01044766172233745,0.027069580097723683
0.009987634647585036,800,0.009554922359339387,0.04327726717003152
0.10003040744882842,1600,0.06073261467697675,0.005137715110463906
0.049766506574559694,1600,0.009963613684678572,0.29823999606283325
0.01012885198244404,1600,0.027014433811770128,0.014679342704882624
