Noise,N,0,1
0.0979944654673637,100,0.4449938896413246,0.045804691831723116
0.048443060652493056,100,0.2932632911971619,0.07396572690713821
0.009329802149457472,100,0.2937425231662554,0.046265676283246834
0.09919470158512192,200,0.2561772097753143,0.0447463344503386
0.05222206905095077,200,0.08881753868570716,0.1156695630621174
0.00978256369915774,200,0.2554703027300849,0.019603407863698148
0.10146411316216493,400,0.06884083310320308,0.009881864287538896
0.04928029854980694,400,0.24711518976443,0.03049233284413085
0.010287988014161153,400,0.12296293387678435,0.006177635703041206
0.10137886597447154,800,0.0986962925047699,0.0075214652116808375
0.0477573653624784,800,0.11097066023129773,0.013837090955032444
0.009987634647585036,800,0.1676584578999809,0.009185972809025828
0.10003040744882842,1600,0.050181236684945306,0.06736813737258777
0.049766506574559694,1600,0.3351888358192285,0.00971050798288973
0.01012885198244404,1600,0.1162653904735192,0.02466311043954821
