Noise,N,0,1
0.0980,100,0.8780,0.0468
0.0484,100,0.7738,0.1417
0.0093,100,0.8889,0.0401
0.0992,200,0.9095,0.0490
0.0522,200,0.9382,0.0425
0.0098,200,0.9073,0.0376
0.1015,400,0.9334,0.0355
0.0493,400,0.8005,0.1779
0.0103,400,0.9451,0.0292
0.1014,800,0.9489,0.0312
0.0478,800,0.8909,0.0949
0.0100,800,0.9587,0.0201
0.1000,1600,0.8260,0.1647
0.0498,1600,0.9442,0.0405
0.0101,1600,0.9354,0.0562
