Noise,N,0
0.0979944654673637,100,0.3893849175012249
0.048443060652493056,100,0.4555692258070279
0.009329802149457472,100,0.3990152212501576
0.09919470158512192,200,0.2445697426768048
0.05222206905095077,200,0.015423262907000497
0.00978256369915774,200,0.2162832227445688
0.10146411316216493,400,0.02994629657078404
0.04928029854980694,400,0.0026649248485609103
0.010287988014161153,400,1.0000049623064298e-06
0.10137886597447154,800,0.009427884057254985
0.0477573653624784,800,0.0023813306784098024
0.009987634647585036,800,0.0034846819898580127
0.10003040744882842,1600,0.009981319525294921
0.049766506574559694,1600,0.003650937883995463
0.01012885198244404,1600,0.00011884692675796934
