Noise,N,0
0.1102,100,1.4405
0.0511,100,1.2575
0.0107,100,1.4664
0.1001,200,1.1511
0.0515,200,1.2487
0.0099,200,1.1761
0.1039,400,1.0712
0.0522,400,1.0807
0.0100,400,0.9991
0.1023,800,0.8748
0.0527,800,0.7653
0.0106,800,0.8153
0.1024,1600,0.8551
0.0520,1600,0.7885
0.0103,1600,0.7268
