Noise,N,0
0.11015508364278596,100,1.5158102032398304
0.0511057977146674,100,1.3589823941450832
0.010719759372056116,100,1.6282982606600245
0.10011801126336303,200,2.1830826222329884
0.05145792228758064,200,1.8544534554422327
0.009908044647757925,200,1.7452522745195709
0.10393334051207262,400,2.0492035457608493
0.052208201059356335,400,1.898554789682442
0.00997319708098079,400,1.6101432150846964
0.10226422663555237,800,1.8001417116496148
0.05268798720839827,800,1.8264077486531445
0.010555982947814586,800,1.579861389130041
0.10239374953760644,1600,1.9965235034221127
0.05204944675465384,1600,1.65288053148975
0.01034816936172506,1600,1.4179893218996007
