Noise,N,0
0.11015508364278596,100,-74.68305795538757
0.0511057977146674,100,-52.64597627248986
0.010719759372056116,100,-61.58202014076693
0.10011801126336303,200,-81.55043026342167
0.05145792228758064,200,-66.63479051957589
0.009908044647757925,200,-33.32490832543211
0.10393334051207262,400,-97.5480198596352
0.052208201059356335,400,-33.15486093870639
0.00997319708098079,400,-29.804701247311183
0.10226422663555237,800,-20.41747616691947
0.05268798720839827,800,-101.67043880138706
0.010555982947814586,800,-178.37736114737584
0.10239374953760644,1600,-195.24279466858846
0.05204944675465384,1600,-505.0278113486494
0.01034816936172506,1600,-751.4831257293588
