Noise,N,0
0.11015508364278596,100,1.4562042182332031
0.0511057977146674,100,2.06272434064996
0.010719759372056116,100,1.7431587723610942
0.10011801126336303,200,2.4775313666024035
0.05145792228758064,200,2.2492082449874227
0.009908044647757925,200,1.6732731061423176
0.10393334051207262,400,2.2473501060144967
0.052208201059356335,400,1.8899607802573604
0.00997319708098079,400,1.75716377176116
0.10226422663555237,800,1.7439937953710818
0.05268798720839827,800,1.8209215489373525
0.010555982947814586,800,1.4238380655437497
0.10239374953760644,1600,1.7801227035720777
0.05204944675465384,1600,1.666848696409898
0.01034816936172506,1600,1.4051396737397666
