Noise,N,0
0.11015508364278596,100,0.9012798193229196
0.0511057977146674,100,0.973440697151946
0.010719759372056116,100,0.8628432702531522
0.10011801126336303,200,0.9778434693453696
0.05145792228758064,200,0.9105847075586656
0.009908044647757925,200,0.8089551027417035
0.10393334051207262,400,0.8623598192659465
0.052208201059356335,400,0.8306149579360309
0.00997319708098079,400,0.7883648574360165
0.10226422663555237,800,0.8309741156985704
0.05268798720839827,800,0.7511913186197692
0.010555982947814586,800,0.6977271838025388
0.10239374953760644,1600,0.7438581031383559
0.05204944675465384,1600,0.6678331210523095
0.01034816936172506,1600,0.6157830297160101
