Noise,N,0
0.11015508364278596,100,1.4404527896392787
0.0511057977146674,100,1.2575107218441477
0.010719759372056116,100,1.4663716253912291
0.10011801126336303,200,1.151096685917982
0.05145792228758064,200,1.2487089714943382
0.009908044647757925,200,1.1760895076671312
0.10393334051207262,400,1.0712368873396296
0.052208201059356335,400,1.0806586638298803
0.00997319708098079,400,0.9991334080679976
0.10226422663555237,800,0.8748288080299726
0.05268798720839827,800,0.7653279840926289
0.010555982947814586,800,0.8153101523813381
0.10239374953760644,1600,0.8551185949957278
0.05204944675465384,1600,0.7885174426903918
0.01034816936172506,1600,0.7267510625071523
