Noise,N,0,1,2,3
0.1102,100,0.6266,0.8322,1.1132,3.0356
0.0511,100,0.6807,0.6389,1.1949,16.6226
0.0107,100,0.7794,0.5435,2.7607,8.2244
0.1001,200,0.4270,0.5119,1.3094,2.6237
0.0515,200,0.4623,0.6019,1.0920,6.5833
0.0099,200,0.5546,0.6098,0.8544,9.0488
0.1039,400,0.4196,0.4834,1.0215,1.7162
0.0522,400,0.4076,0.6465,0.9284,2.1868
0.0100,400,0.5029,0.3902,0.8937,8.1291
0.1023,800,0.3428,0.5124,0.6217,1.3419
0.0527,800,0.4196,0.3554,0.5863,1.5908
0.0106,800,0.3958,0.3967,0.7202,3.7329
0.1024,1600,0.3233,0.2775,0.5305,1.3042
0.0520,1600,0.3305,0.3089,0.6562,1.3884
0.0103,1600,0.3161,0.3360,0.6230,2.9849
