Noise,N,0
0.11015508364278596,100,0.07257194786401018
0.0511057977146674,100,0.013295689105944513
0.010719759372056116,100,0.010824787069531409
0.10011801126336303,200,0.027134131367604702
0.05145792228758064,200,0.022937251926781643
0.009908044647757925,200,0.0060145474275909785
0.10393334051207262,400,0.021898513348437124
0.052208201059356335,400,0.01273729791522417
0.00997319708098079,400,0.00723457906815078
0.10226422663555237,800,0.022609862609816074
0.05268798720839827,800,0.011899175943318376
0.010555982947814586,800,0.007738585156447661
0.10239374953760644,1600,0.0204175182025636
0.05204944675465384,1600,0.010766413218018241
0.01034816936172506,1600,0.00631002509224356
