Noise,N,0,1,2,3
0.1102,100,0.3704,0.6000,0.7859,1.0000
0.0511,100,0.3025,0.6498,0.8352,1.0000
0.0107,100,0.3029,0.6012,0.7980,1.0000
0.1001,200,0.3785,0.7503,0.8823,1.0000
0.0515,200,0.3431,0.7663,0.8791,1.0000
0.0099,200,0.3630,0.6968,0.8797,1.0000
0.1039,400,0.3555,0.7951,0.9278,1.0000
0.0522,400,0.3569,0.7856,0.9270,1.0000
0.0100,400,0.3477,0.7787,0.9204,1.0000
0.1023,800,0.3665,0.8199,0.9523,1.0000
0.0527,800,0.3566,0.8099,0.9476,1.0000
0.0106,800,0.3530,0.8047,0.9518,1.0000
0.1024,1600,0.3633,0.8280,0.9705,1.0000
0.0520,1600,0.3652,0.8223,0.9631,1.0000
0.0103,1600,0.3666,0.8242,0.9650,1.0000
