Noise,N,0,1,2
0.11015508364278596,100,1.0,0.0,0.0
0.11015508364278596,100,0.0,1.0,0.0
0.11015508364278596,100,0.0,0.0,1.0
0.0511057977146674,100,1.0,0.0,0.0
0.0511057977146674,100,0.0,1.0,0.0
0.0511057977146674,100,0.0,0.0,1.0
0.010719759372056116,100,1.0,0.0,0.0
0.010719759372056116,100,0.0,1.0,0.0
0.010719759372056116,100,0.0,0.0,1.0
0.10011801126336303,200,1.0,0.0,0.0
0.10011801126336303,200,0.0,1.0,0.0
0.10011801126336303,200,0.0,0.0,1.0
0.05145792228758064,200,1.0,0.0,0.0
0.05145792228758064,200,0.0,1.0,0.0
0.05145792228758064,200,0.0,0.0,1.0
0.009908044647757925,200,1.0,0.0,0.0
0.009908044647757925,200,0.0,1.0,0.0
0.009908044647757925,200,0.0,0.0,1.0
0.10393334051207262,400,1.0,0.0,0.0
0.10393334051207262,400,0.0,1.0,0.0
0.10393334051207262,400,0.0,0.0,1.0
0.052208201059356335,400,1.0,0.0,0.0
0.052208201059356335,400,0.0,1.0,0.0
0.052208201059356335,400,0.0,0.0,1.0
0.00997319708098079,400,1.0,0.0,0.0
0.00997319708098079,400,0.0,1.0,0.0
0.00997319708098079,400,0.0,0.0,1.0
0.10226422663555237,800,1.0,0.0,0.0
0.10226422663555237,800,0.0,1.0,0.0
0.10226422663555237,800,0.0,0.0,1.0
0.05268798720839827,800,1.0,0.0,0.0
0.05268798720839827,800,0.0,1.0,0.0
0.05268798720839827,800,0.0,0.0,1.0
0.010555982947814586,800,1.0,0.0,0.0
0.010555982947814586,800,0.0,1.0,0.0
0.010555982947814586,800,0.0,0.0,1.0
0.10239374953760644,1600,1.0,0.0,0.0
0.10239374953760644,1600,0.0,1.0,0.0
0.10239374953760644,1600,0.0,0.0,1.0
0.05204944675465384,1600,1.0,0.0,0.0
0.05204944675465384,1600,0.0,1.0,0.0
0.05204944675465384,1600,0.0,0.0,1.0
0.01034816936172506,1600,1.0,0.0,0.0
0.01034816936172506,1600,0.0,1.0,0.0
0.01034816936172506,1600,0.0,0.0,1.0
