Noise,N,0
0.13739061872412758,100,0.6984395200221332
0.07043360569629047,100,0.7007642147879483
0.014656653213887186,100,0.6855596818998604
0.1440351717781424,200,0.5337223253954357
0.06926268647752573,200,0.6355815893614793
0.014134517170754056,200,0.6102873768729121
0.14122280363219653,400,0.6034041722749128
0.0706122058593459,400,0.5886612503372117
0.014299172916431175,400,0.5450510897478827
0.1377814890502813,800,0.5350724263530895
0.07150611448875592,800,0.5828841253929187
0.014234079326417385,800,0.5488431368830785
0.14003669304096866,1600,0.5381855161594029
0.07040585375029043,1600,0.5177327497656515
0.014080445040041707,1600,0.4880020580824886
