Noise,N,0
0.13739061872412758,100,0.020420627106638063
0.07043360569629047,100,0.004687863536455014
0.014656653213887186,100,0.0002163814656896607
0.1440351717781424,200,0.02099430012232752
0.06926268647752573,200,0.004805205028870318
0.014134517170754056,200,0.00019964225300041108
0.14122280363219653,400,0.01982911639642929
0.0706122058593459,400,0.005058328228958851
0.014299172916431175,400,0.00019864789215349657
0.1377814890502813,800,0.01896855073965984
0.07150611448875592,800,0.005142414755400008
0.014234079326417385,800,0.00020391695648400344
0.14003669304096866,1600,0.01958766507256833
0.07040585375029043,1600,0.004955339703959379
0.014080445040041707,1600,0.0001991335661714797
