Noise,N,0
0.1374,100,0.0000
0.0704,100,0.0000
0.0147,100,0.0000
0.1440,200,0.0000
0.0693,200,0.0000
0.0141,200,0.0000
0.1412,400,0.0000
0.0706,400,0.0000
0.0143,400,0.0000
0.1378,800,0.0000
0.0715,800,0.0000
0.0142,800,0.0001
0.1400,1600,0.0000
0.0704,1600,0.0000
0.0141,1600,0.0000
