13.74,100,99.91,99.91,100.00,100.00,100.00
7.04,100,99.87,99.87,100.00,100.00,100.00
1.47,100,100.00,100.00,100.00,100.00,100.00
14.40,200,99.93,99.93,100.00,100.00,100.00
6.93,200,99.98,99.98,100.00,100.00,100.00
1.41,200,99.90,99.90,100.00,100.00,100.00
14.12,400,99.97,99.97,100.00,100.00,100.00
7.06,400,99.97,99.97,100.00,100.00,100.00
1.43,400,99.98,99.98,100.00,100.00,100.00
13.78,800,100.00,100.00,100.00,100.00,100.00
7.15,800,99.97,99.97,100.00,100.00,100.00
1.42,800,99.95,99.95,100.00,100.00,100.00
14.00,1600,100.00,100.00,100.00,100.00,100.00
7.04,1600,100.00,100.00,100.00,100.00,100.00
1.41,1600,100.00,100.00,100.00,100.00,100.00
