Noise,N,0
0.13739061872412758,100,0.0070674282602316485
0.07043360569629047,100,0.00937836486520722
0.014656653213887186,100,0.017345910826504416
0.1440351717781424,200,0.0010292659550168496
0.06926268647752573,200,0.0028657812271815656
0.014134517170754056,200,0.014448456214769043
0.14122280363219653,400,0.0003567118715149018
0.0706122058593459,400,0.000830234093275967
0.014299172916431175,400,0.006598846278459221
0.1377814890502813,800,0.00022197535064032612
0.07150611448875592,800,3.4481955349866996e-05
0.014234079326417385,800,0.3568838508792281
0.14003669304096866,1600,6.153237244200478e-10
0.07040585375029043,1600,7.108230016714554e-08
0.014080445040041707,1600,1.4231050095136017e-08
