Noise,N,0
0.1000,100,1.0000
0.0500,100,1.0000
0.0100,100,1.0000
0.1000,200,1.0000
0.0500,200,1.0000
0.0100,200,1.0000
0.1000,400,1.0000
0.0500,400,1.0000
0.0100,400,1.0000
0.1000,800,1.0000
0.0500,800,1.0000
0.0100,800,1.0000
0.1000,1600,1.0000
0.0500,1600,1.0000
0.0100,1600,1.0000
