14.20,100,99.89,99.93,99.93,100.00,100.00,99.90,100.00,100.00,100.00,100.00,100.00,100.00,10.52,75.53,75.59,98.62,100.00,99.95,99.99,100.00,100.00,100.00,100.00,100.00
7.04,100,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.27,3.37,7.46,8.83,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1.41,100,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.77,2.39,43.64,83.11,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
13.99,200,99.99,99.99,99.99,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2.98,6.15,12.86,13.79,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
7.05,200,99.98,99.99,99.99,100.00,100.00,99.99,100.00,100.00,100.00,100.00,100.00,100.00,21.10,21.10,21.18,57.41,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1.42,200,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,35.84,43.84,53.91,61.52,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
14.00,400,99.98,100.00,100.00,100.00,100.00,99.99,100.00,100.00,100.00,100.00,100.00,100.00,31.44,58.31,58.33,98.83,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
7.06,400,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,5.76,45.52,63.90,64.58,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1.41,400,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,5.96,21.89,22.75,32.77,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
13.94,800,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,12.03,43.39,82.43,93.68,100.00,99.99,100.00,100.00,100.00,100.00,100.00,100.00
7.05,800,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,29.41,31.34,43.32,74.33,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1.41,800,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.40,0.52,26.41,84.81,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
13.99,1600,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,26.94,29.48,80.53,84.82,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
7.05,1600,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,2.68,14.60,74.91,85.21,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1.41,1600,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.29,0.41,2.75,3.53,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
