Noise,N,0
0.0010,100,1.6635
0.0000,100,1.9698
0.0010,200,1.9125
0.0000,200,2.1270
0.0010,400,2.0620
0.0000,400,2.4491
0.0010,800,2.1215
0.0000,800,2.3967
0.0010,1600,1.9309
0.0000,1600,2.0000
