Noise,N,0,1,2,3
0.0000,100,0.7434,1.0323,2.3309,2.8317
0.0010,100,0.7219,1.0724,1.0884,3.9553
0.0000,200,0.7956,1.1519,1.4001,1.5290
0.0010,200,0.7149,0.9013,1.1581,1.5683
0.0000,400,0.7412,0.9411,1.3800,1.8469
0.0010,400,0.8186,1.0874,1.4888,1.6275
0.0000,800,0.8394,0.9499,1.3315,1.4270
0.0010,800,0.7652,0.9232,1.2976,1.3288
0.0000,1600,0.7704,0.9778,1.1150,1.3760
0.0010,1600,0.6810,1.0820,1.1570,1.2631
