Noise,N,0,1,2,3,4
0.001,100,0.4094534626201184,0.28484846796952645,0.014090429523741652,0.005722057200270057,0.002971142209044025
0.0,100,0.41566388919273056,0.15062579064338846,0.0372567068623952,0.07882496355292162,0.001552123192988782
0.001,200,0.4532486708709144,0.15751462648621914,0.07235031314645354,0.012400732050627552,0.00985588828821134
0.0,200,0.4677788254673826,0.13853177723302926,0.07431882296457157,0.04246652739879949,0.009657968354492744
0.001,400,0.43076879736036056,0.1897857386587677,0.0829229522149551,0.02945324844515537,0.02520729771744775
0.0,400,0.4479515522185748,0.1680035832850747,0.07578706170426652,0.047822785730465285,0.02002585002935748
0.001,800,0.43880521895007657,0.1809535589945636,0.08903679713050858,0.05303091049670725,0.04167671483541184
0.0,800,0.4537643376468906,0.1808323648852113,0.0814034829823102,0.05513130809381466,0.031026319724265963
0.001,1600,0.4348215868548092,0.18754610313102074,0.092423884583998,0.0559333427582981,0.04028736064428818
0.0,1600,0.4377118675059334,0.17716182443480427,0.09905597908830754,0.06023785376588709,0.03487655406358249
