Noise,N,0,1,2,3,4
0.001,100,0.5686607139407944,0.7333176722289947,2.7120261340432448,8.260535523385101,1765.4203181341275
0.0,100,0.5940708505915999,1.3015091660770133,1.3430702757524495,2.7362572077500094,247.9668913870247
0.001,200,0.5595072032543733,0.9606265645414902,1.1144136008606096,2.452586016088464,4.292001970877439
0.0,200,0.7509187202698964,1.070053701826721,1.3329106231105217,1.7212156534375667,4698153.115090487
0.001,400,0.6379711472003983,1.0934209706178997,1.1365940789043905,1.8901350020435568,2.403611263265057
0.0,400,0.8680463267674445,1.0457442215184467,1.3865040409429144,1.791667191502471,2.4541199378571688
0.001,800,0.7285182663535953,1.0556880744027308,1.1580879359745897,1.4754205167472332,1.9392292849939812
0.0,800,0.7237799488379437,0.956718275144492,1.4995343089914115,1.624987198270058,2.1076614950155976
0.001,1600,0.6988780446075262,0.8937021452833647,1.1385590993221282,1.3950844012079415,1.5097740456614137
0.0,1600,0.7022669361250273,0.9724043966797504,1.1202602222464837,1.392482644251417,1.6502074556720046
