Noise,N,0,1
0.0000,100,0.8340,0.4811
0.0250,100,0.4441,0.2541
0.0000,200,0.8165,0.4977
0.0250,200,0.2324,0.2264
0.0000,400,0.8102,0.4957
0.0250,400,0.1376,0.1652
0.0000,800,0.8048,0.5021
0.0250,800,0.0324,0.0862
0.0000,1600,0.3981,0.2550
0.0250,1600,0.2482,0.0322
