Noise,N,0
0.02607386090268778,100,0.07082341062407464
0.014579089766763705,100,0.07411265482383009
0.0026230328035783284,100,0.3711227136765684
0.026275566103089502,200,0.21970781277256066
0.013109956175041095,200,0.00845072610058315
0.00270294583944271,200,1e-06
0.02740155559717342,400,0.0038166541826999507
0.01382390421837956,400,0.0012389495589675925
0.0027086595799486715,400,0.002685146173688615
0.026431523791205717,800,0.00181618396894179
0.01342825294964692,800,0.0008510415864358245
0.002766131450104324,800,0.0004381002521206734
0.026655401493999992,1600,0.0014201579739424044
0.01338065860073502,1600,0.00047308522349627833
0.002721625861930322,1600,0.00017361062885667944
