2.61,100,67.14,92.67,100.00,67.14,92.67
1.46,100,24.85,80.24,100.00,24.85,80.24
0.26,100,59.12,93.67,100.00,59.12,93.67
2.63,200,73.91,99.27,100.00,73.91,99.27
1.31,200,33.05,97.77,100.00,33.05,97.77
0.27,200,49.88,96.75,100.00,49.88,96.75
2.74,400,86.15,91.47,100.00,86.15,91.47
1.38,400,88.95,99.46,100.00,88.95,99.46
0.27,400,37.99,99.45,100.00,37.99,99.45
2.64,800,79.69,96.10,100.00,79.69,96.10
1.34,800,72.23,99.86,100.00,72.23,99.86
0.28,800,78.19,99.95,100.00,78.19,99.95
2.67,1600,21.13,98.78,100.00,21.13,98.78
1.34,1600,39.74,98.74,100.00,39.74,98.74
0.27,1600,56.47,81.35,100.00,56.47,81.35
