Noise,N,0
0.02607386090268778,100,0.8337419126226615
0.014579089766763705,100,1.3321235922808778
0.0026230328035783284,100,0.9026363419246552
0.026275566103089502,200,1.1951292913992062
0.013109956175041095,200,1.1711786464719989
0.00270294583944271,200,1.2434504362897298
0.02740155559717342,400,1.1192534576418698
0.01382390421837956,400,1.2171649382364609
0.0027086595799486715,400,1.3397123402028686
0.026431523791205717,800,1.2900379039235492
0.01342825294964692,800,1.1943398306782929
0.002766131450104324,800,1.3414344054250342
0.026655401493999992,1600,1.0597720367409722
0.01338065860073502,1600,1.1694826521050128
0.002721625861930322,1600,1.2063359426106586
