Noise,N,0,1,2
0.02607386090268778,100,0.6244663508605581,0.07647362064915203,0.0647880685846079
0.014579089766763705,100,0.4646383139197324,0.08826679925774719,0.028454613696182574
0.0026230328035783284,100,0.5412215147819499,0.10146865187152047,0.05804511949391545
0.026275566103089502,200,0.3914864862022868,0.19605796080025745,0.06639565311826243
0.013109956175041095,200,0.3046889548258066,0.3295948061342504,0.029461577554589412
0.00270294583944271,200,0.3484683213493633,0.153917011869437,0.13945179428933116
0.02740155559717342,400,0.5202777451879794,0.05587281766875561,0.04018729780123609
0.01382390421837956,400,0.44813883154745626,0.14145233419882902,0.04834781039535372
0.0027086595799486715,400,0.40012403380014905,0.20014327206616533,0.0625438258239158
0.026431523791205717,800,0.5163021573152544,0.19187539109541527,0.058893704182114474
0.01342825294964692,800,0.5338753693804812,0.152798051933116,0.04906987211540891
0.002766131450104324,800,0.4743337895117468,0.18380164624857268,0.052991273966509836
0.026655401493999992,1600,0.566279513828348,0.15592239967101662,0.0702190442214882
0.01338065860073502,1600,0.5347260283198625,0.18376940729853525,0.052454415255585835
0.002721625861930322,1600,0.6424997198812492,0.11774081213860275,0.05667250060998515
