Noise,N,0,1,2
0.02607386090268778,100,0.6244663508605581,0.757141346935558,1.0
0.014579089766763705,100,0.4646383139197324,0.6293125721173094,1.0
0.0026230328035783284,100,0.5412215147819499,0.7397865545886166,1.0
0.026275566103089502,200,0.3914864862022868,0.7004021585746749,1.0
0.013109956175041095,200,0.3046889548258066,0.7034809766862768,1.0
0.00270294583944271,200,0.3484683213493633,0.5740440794199462,1.0
0.02740155559717342,400,0.5202777451879794,0.7060161191515857,1.0
0.01382390421837956,400,0.44813883154745626,0.6222830891449018,1.0
0.0027086595799486715,400,0.40012403380014905,0.6495152326487421,1.0
0.026431523791205717,800,0.5163021573152544,0.7275431954194209,1.0
0.01342825294964692,800,0.5338753693804812,0.7137648940829951,1.0
0.002766131450104324,800,0.4743337895117468,0.678546899317904,1.0
0.026655401493999992,1600,0.566279513828348,0.7395727092137604,1.0
0.01338065860073502,1600,0.5347260283198625,0.7328129635201694,1.0
0.002721625861930322,1600,0.6424997198812492,0.7825804783516436,1.0
