Noise,N,0
0.02607386090268778,100,0.40349088271192457
0.014579089766763705,100,0.3964489373783127
0.0026230328035783284,100,0.43167892709410427
0.026275566103089502,200,0.5805055442198748
0.013109956175041095,200,0.2732503234922442
0.00270294583944271,200,0.2552253458249684
0.02740155559717342,400,0.3331193390892195
0.01382390421837956,400,0.1253903321385931
0.0027086595799486715,400,0.3459935796531573
0.026431523791205717,800,0.19498496696133333
0.01342825294964692,800,0.2939694166365961
0.002766131450104324,800,0.2532743524532597
0.026655401493999992,1600,0.3425933590195926
0.01338065860073502,1600,0.2593852247398675
0.002721625861930322,1600,0.3888649334371467
