Noise,N,0,1,2
0.09689909045251084,100,0.5305972451531832,0.16505417058246435,0.05926733203532478
0.05313906292220436,100,0.5459834740609452,0.14747454372302782,0.05048698124868267
0.010501746730355397,100,0.5124995022926084,0.08323515938210266,0.046499736151692214
0.1121207812810688,200,0.5242640674790254,0.07762362481850664,0.055653907236137966
0.05281701353780674,200,0.5681148785826731,0.11711278558478905,0.09543397396201528
0.011021644976536763,200,0.5359423407014571,0.1409579386103009,0.10670393159128548
0.10510484094970331,400,0.5122330166614348,0.13995865855820366,0.05075010604970398
0.050496404120301,400,0.4876581684382322,0.20822362816022053,0.043868029995975465
0.010452490384479731,400,0.4861315074059556,0.1569800849045962,0.049862741867254576
0.10103236917553071,800,0.4554125436541393,0.26183627288490363,0.1094954936140338
0.049656108376438926,800,0.4838924975468544,0.2155384751855705,0.017652849638557504
0.010125426537555157,800,0.4979678318314246,0.15357025598723514,0.05553767960666862
0.10034167000596704,1600,0.533867330740148,0.15051218165161806,0.03503428112422369
0.052114340906432806,1600,0.4474378398565719,0.2178102773861763,0.020218776264328626
0.010559179023048289,1600,0.5390178674260968,0.16036987461180574,0.04429294901414068
