Noise,N,0,1,2,3
0.09689909045251084,100,0.4301206455829536,0.6251049555229412,0.7881635450126874,1.0
0.05313906292220436,100,0.4858929409468916,0.6499829605432925,0.8368699330112944,1.0
0.010501746730355397,100,0.4075479696602704,0.5443244140260285,0.7483215679254288,1.0
0.1121207812810688,200,0.4245537723319147,0.5313783780113256,0.7405948640361224,1.0
0.05281701353780674,200,0.5030490779358623,0.599883379826156,0.7838593153004048,1.0
0.011021644976536763,200,0.4686601481317316,0.6269950919319734,0.7823415906681928,1.0
0.10510484094970331,400,0.4209645961671527,0.5531953328421788,0.7491690363067519,1.0
0.050496404120301,400,0.4392683937613167,0.6495983394739027,0.8521583528463642,1.0
0.010452490384479731,400,0.4283344653876635,0.5876936021969645,0.8065763675968802,1.0
0.10103236917553071,800,0.3732771940675973,0.6607257290835551,0.8153260082359016,1.0
0.049656108376438926,800,0.36560998903234815,0.6164578092058379,0.7964454687827383,1.0
0.010125426537555157,800,0.4338180375009512,0.5950041056742388,0.8383941674955953,1.0
0.10034167000596704,1600,0.3983558487304275,0.5593500523408321,0.7684577926097744,1.0
0.052114340906432806,1600,0.40428514686563377,0.6637855019827937,0.8861024499158303,1.0
0.010559179023048289,1600,0.4440472146008159,0.5943268186325124,0.8122255676624448,1.0
