Noise,N,0,1,2,3
0.0969,100,0.3441,0.0718,0.0193,0.0671
0.0531,100,0.3037,0.0940,0.0473,0.0657
0.0105,100,0.3592,0.0594,0.0461,0.0283
0.1121,200,0.3489,0.0569,0.0404,0.0073
0.0528,200,0.4152,0.0293,0.0295,0.0229
0.0110,200,0.4611,0.0559,0.0584,0.0061
0.1051,400,0.3452,0.0691,0.0311,0.0128
0.0505,400,0.3926,0.1300,0.0163,0.0046
0.0105,400,0.3522,0.0872,0.0275,0.0076
0.1010,800,0.3229,0.1863,0.0755,0.0055
0.0497,800,0.3149,0.1639,0.0094,0.0495
0.0101,800,0.3242,0.0801,0.0215,0.0153
0.1003,1600,0.3339,0.0899,0.0227,0.0268
0.0521,1600,0.3311,0.1521,0.0096,0.0056
0.0106,1600,0.3538,0.0755,0.0268,0.0126
