Noise,N,0,1,2,3
0.1,100,0.5324262420345387,0.9406758731755572,1.227312472282364,1.1216602110861515
0.05,100,0.8793310745313634,0.9412369226082492,2.6804308002320965,0.5682040409405661
0.01,100,0.8579573851788165,1.0213923852275504,0.7089425608044517,1.2558308406086125
0.1,200,0.4911107305315557,0.5363984447102361,0.8335107625663579,1.1654250750137218
0.05,200,0.1954960398622112,1.2599043383822526,0.8920309721179273,1.6454136559755226
0.01,200,0.3251559574110596,1.6833788855603564,0.6095555337697581,1.4821530267495382
0.1,400,0.4025947064791229,0.5135359312626078,1.0507036066965212,0.7279697040140221
0.05,400,0.2136192963827193,0.6391352322151127,1.2046692006690052,1.6533733666124766
0.01,400,0.3818387542172538,0.4244207829254673,0.5993011497616172,1.7622373035054597
0.1,800,0.34253556708945176,0.4754979837187319,0.3677867121569529,1.2932372585515952
0.05,800,0.5232326602383217,0.26704616525262964,1.038027995017104,0.614558595434782
0.01,800,0.3540974267423141,0.2919671714912989,0.6269450680136084,0.6719839679299477
0.1,1600,0.2597776771073317,0.5326640125471975,0.3923966610431136,0.4051690305380935
0.05,1600,0.3735129058113271,0.3664551981639833,0.5743758474191178,0.3550808222462665
0.01,1600,0.2049513852859933,0.4493041047750283,0.4787862739364527,0.5426893734965089
