Noise,N,0,1,2,3
0.0969,100,0.4301,0.6251,0.7882,1.0000
0.0531,100,0.4859,0.6500,0.8369,1.0000
0.0105,100,0.4075,0.5443,0.7483,1.0000
0.1121,200,0.4246,0.5314,0.7406,1.0000
0.0528,200,0.5030,0.5999,0.7839,1.0000
0.0110,200,0.4687,0.6270,0.7823,1.0000
0.1051,400,0.4210,0.5532,0.7492,1.0000
0.0505,400,0.4393,0.6496,0.8522,1.0000
0.0105,400,0.4283,0.5877,0.8066,1.0000
0.1010,800,0.3733,0.6607,0.8153,1.0000
0.0497,800,0.3656,0.6165,0.7964,1.0000
0.0101,800,0.4338,0.5950,0.8384,1.0000
0.1003,1600,0.3984,0.5594,0.7685,1.0000
0.0521,1600,0.4043,0.6638,0.8861,1.0000
0.0106,1600,0.4440,0.5943,0.8122,1.0000
