Noise,N,0
0.09689909045251084,100,1.3717233064677696
0.05313906292220436,100,1.3309107690895359
0.010501746730355397,100,1.4149894041992672
0.1121207812810688,200,1.0931638819037173
0.05281701353780674,200,1.2020857165741812
0.011021644976536763,200,1.4360386224421384
0.10510484094970331,400,1.2436668688220442
0.050496404120301,400,1.2859520111114846
0.010452490384479731,400,1.18973692201965
0.10103236917553071,800,1.060780761449108
0.049656108376438926,800,1.097155475034131
0.010125426537555157,800,1.0997927993797971
0.10034167000596704,1600,0.992937841509644
0.052114340906432806,1600,1.0314324930754708
0.010559179023048289,1600,1.0832270798943917
